,ticker,SIC,Four Digit SIC Codes,Four Digit SIC Code Descriptions,SIC Two Digit,Two Digit SIC Codes,Two Digit SIC Code Descriptions
4530,SSTI,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
4531,TW,8742,8742.0,MANAGEMENT CONSULTING SERVICES,87,87.0,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT & RELATED SVCS"
4532,VR,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
4533,TNXP,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4534,EVBG,5045,5045.0,"COMPUTERS, PERIPHERALS, AND SOFTWARE",50,50.0,WHOLESALE TRADE - DURABLE GOODS
4535,DUSL,0,,,0,,
4536,VIG,0,,,0,,
4537,AXGN,3845,3845.0,ELECTROMEDICAL EQUIPMENT,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4538,PXSAP,0,,,0,,
4539,STXG,0,,,0,,
4540,ONTO,0,,,0,,
4541,LRGE,0,,,0,,
4542,XPH,0,,,0,,
4543,CAT,3531,3531.0,CONSTRUCTION MACHINERY,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4544,VPN,0,,,0,,
4545,PEBO,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4546,EVER,6035,6035.0,FEDERAL SAVINGS INSTITUTIONS,60,60.0,DEPOSITORY INSTITUTIONS
4547,PRN,0,,,0,,
4548,FUBO,0,,,0,,
4549,LMAT,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4550,NEXA,0,,,0,,
4551,MEOH,3712,,,37,37.0,TRANSPORTATION EQUIPMENT
4552,SHCR,0,,,0,,
4553,RILY,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4554,SWN,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
4555,IWB,0,,,0,,
4556,TALKW,0,,,0,,
4557,CHW,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4558,ZVZZT,0,,,0,,
4559,SBNYP,0,,,0,,
4560,IQV,8099,8099.0,"HEALTH AND ALLIED SERVICES, NEC",80,80.0,HEALTH SERVICES
4561,AVRO,0,,,0,,
4562,XPEL,0,,,0,,
4563,TFX,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4564,HUSA,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
4565,R,7513,7513.0,"TRUCK RENTAL AND LEASING, WITHOUT DRIVERS",75,75.0,"AUTOMOTIVE REPAIR, SERVICES AND PARKING"
4566,NSA,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4567,ARNC,3569,3569.0,"GENERAL INDUSTRIAL MACHINERY,",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4568,WEC,4931,4931.0,ELECTRIC AND OTHER SERVICES COMBINED,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4569,IAU,0,,,0,,
4570,SCHW,6211,6211.0,SECURITY BROKERS AND DEALERS,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4571,FAN,0,,,0,,
4572,MBIN,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4573,AVAL,6029,6029.0,"COMMERCIAL BANKS, NEC",60,60.0,DEPOSITORY INSTITUTIONS
4574,FVRR,0,,,0,,
4575,HCCI,4953,4953.0,REFUSE SYSTEMS,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4576,INTZ,0,,,0,,
4577,WCBR,0,,,0,,
4578,BABA,5961,5961.0,CATALOG AND MAIL-ORDER HOUSES,59,59.0,MISCELLANEOUS RETAIL
4579,STXS,3845,3845.0,ELECTROMEDICAL EQUIPMENT,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4580,REVB,0,,,0,,
4581,AFCG,0,,,0,,
4582,REAL,0,,,0,,
4583,ALLO,0,,,0,,
4584,XHS,0,,,0,,
4585,HBI,2329,2329.0,"MEN'S AND BOY'S CLOTHING, NEC",23,23.0,"APPAREL, FINISHED PRDCTS FROM FABRICS & SIMILAR MATERIALS"
4586,GLU,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4587,GECC,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4588,URTH,0,,,0,,
4589,IBTE,0,,,0,,
4590,TRUE,8999,8999.0,"SERVICES, NEC",89,89.0,"SERVICES, NOT ELSEWHERE CLASSIFIED"
4591,ARL,6512,6512.0,NONRESIDENTIAL BUILDING OPERATORS,65,65.0,REAL ESTATE
4592,CC,2899,2899.0,"CHEMICAL PREPARATIONS, NEC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4593,SHBI,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4594,BWX,0,,,0,,
4595,FPAY,6141,6141.0,PERSONAL CREDIT INSTITUTIONS,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
4596,ACB,0,,,0,,
4597,ASAP,0,,,0,,
4598,HBCP,6036,6036.0,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL",60,60.0,DEPOSITORY INSTITUTIONS
4599,AHHpA,0,,,0,,
4600,IMXI,0,,,0,,
4601,PGRU,0,,,0,,
4602,PXLW,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
4603,IAC,8999,8999.0,"SERVICES, NEC",89,89.0,"SERVICES, NOT ELSEWHERE CLASSIFIED"
4604,VMEO,0,,,0,,
4605,RZB,0,,,0,,
4606,AADI,0,,,0,,
4607,BSCT,0,,,0,,
4608,BNGO,0,,,0,,
4609,OCX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4610,CMPS,0,,,0,,
4611,LGO,0,,,0,,
4612,SOGU,0,,,0,,
4613,MAXR,3351,3351.0,COPPER ROLLING AND DRAWING,33,33.0,PRIMARY METAL INDUSTRIES
4614,COM,0,,,0,,
4615,W,5961,5961.0,CATALOG AND MAIL-ORDER HOUSES,59,59.0,MISCELLANEOUS RETAIL
4616,ZIMV,0,,,0,,
4617,SAEF,0,,,0,,
4618,LSTA,0,,,0,,
4619,ASTS,0,,,0,,
4620,CDXC,2833,2833.0,MEDICINALS AND BOTANICALS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4621,EFX,7323,7323.0,CREDIT REPORTING SERVICES,73,73.0,BUSINESS SERVICES
4622,LBAI,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4623,HNVR,0,,,0,,
4624,EBAY,5961,5961.0,CATALOG AND MAIL-ORDER HOUSES,59,59.0,MISCELLANEOUS RETAIL
4625,CPER,0,,,0,,
4626,GDS,0,,,0,,
4627,AIN,2221,2221.0,"BROADWOVEN FABRIC MILLS, MANMADE",22,22.0,TEXTILE MILL PRODUCTS
4628,ACT,0,,,0,,
4629,PCAR,9999,9999.0,NONCLASSIFIABLE ESTABLISHMENTS,99,99.0,NONCLASSIFIABLE ESTABLISHMENTS
4630,RENE,0,,,0,,
4631,KNBE,0,,,0,,
4632,GLMD,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4633,ETpC,0,,,0,,
4634,PFSW,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
4635,TCOM,0,,,0,,
4636,NUDV,0,,,0,,
4637,WDAY,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
4638,EMLC,0,,,0,,
4639,CINF,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
4640,GDEN,7993,7993.0,COIN-OPERATED AMUSEMENT DEVICES,79,79.0,AMUSEMENT AND RECREATION SERVICES
4641,TFFP,0,,,0,,
4642,XOMAO,0,,,0,,
4643,PFF,0,,,0,,
4644,AGNCN,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4645,GAME,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
4646,EGIO,0,,,0,,
4647,OSS,3571,3571.0,ELECTRONIC COMPUTERS,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4648,DSP,0,,,0,,
4649,IVC,3842,3842.0,SURGICAL APPLIANCES AND SUPPLIES,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4650,CMCO,3531,3531.0,CONSTRUCTION MACHINERY,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4651,SLNA,0,,,0,,
4652,IWO,0,,,0,,
4653,SLGL,0,,,0,,
4654,GNLpA,0,,,0,,
4655,EB,0,,,0,,
4656,VISL,0,,,0,,
4657,ATRO,3728,3728.0,"AIRCRAFT PARTS AND EQUIPMENT, NEC",37,37.0,TRANSPORTATION EQUIPMENT
4658,OMGA,0,,,0,,
4659,PFLD,0,,,0,,
4660,PMTpA,0,,,0,,
4661,TREE,6163,6163.0,LOAN BROKERS,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
4662,TNPpF,0,,,0,,
4663,PANL,4412,4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,44,44.0,WATER TRANSPORTATION
4664,CNO,6311,6311.0,LIFE INSURANCE,63,63.0,INSURANCE CARRIERS
4665,GEF,2679,2679.0,"CONVERTED PAPER PRODUCTS, NEC",26,26.0,PAPER AND ALLIED PRODUCTS
4666,JCTCF,2599,2599.0,"FURNITURE AND FIXTURES, NEC",25,25.0,FURNITURE AND FIXTURES
4667,CELH,2086,2086.0,BOTTLED AND CANNED SOFT DRINKS,20,20.0,FOOD AND KINDRED PRODUCTS
4668,FIGS,0,,,0,,
4669,CRVS,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4670,OZK,0,,,0,,
4671,APM,0,,,0,,
4672,NPV,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4673,FCLD,0,,,0,,
4674,IRDM,4899,4899.0,"COMMUNICATION SERVICES, NEC",48,48.0,COMMUNICATIONS
4675,FRGI,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
4676,FXU,0,,,0,,
4677,BKNG,0,,,0,,
4678,INOD,7374,7374.0,DATA PROCESSING AND PREPARATION,73,73.0,BUSINESS SERVICES
4679,NKLA,0,,,0,,
4680,INBS,0,,,0,,
4681,PDCE,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
4682,OVLY,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4683,ATRA,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4684,TTNP,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4685,UZE,0,,,0,,
4686,LEVI,0,,,0,,
4687,KRKR,0,,,0,,
4688,FBRT,0,,,0,,
4689,KMPH,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4690,ENTF,0,,,0,,
4691,HOLI,3629,3629.0,ELECTRICAL INDUSTRIAL APPARATUS,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
4692,DGHI,0,,,0,,
4693,LPTX,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4694,ATXS,0,,,0,,
4695,ALKT,0,,,0,,
4696,CSIQ,3352,,,33,33.0,PRIMARY METAL INDUSTRIES
4697,NVEE,8711,8711.0,ENGINEERING SERVICES,87,87.0,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT & RELATED SVCS"
4698,FPL,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4699,IDEV,0,,,0,,
4700,KW,6519,6519.0,"REAL PROPERTY LESSORS, NEC",65,65.0,REAL ESTATE
4701,MDWD,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4702,CONL,0,,,0,,
4703,SHY,0,,,0,,
4704,ELEV,0,,,0,,
4705,NS,4789,4789.0,"TRANSPORTATION SERVICES, NEC",47,47.0,TRANSPORTATION SERVICES
4706,ARES,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4707,CDZIP,0,,,0,,
4708,MQ,0,,,0,,
4709,ZNH,0,,,0,,
4710,PCYO,4941,4941.0,WATER SUPPLY,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4711,CDRE,0,,,0,,
4712,FF,2869,2869.0,"INDUSTRIAL ORGANIC CHEMICALS, NEC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4713,AGG,0,,,0,,
4714,SLGN,3411,3411.0,METAL CANS,34,34.0,"FABRICATED METAL PRDCTS, EXCEPT MACHINERY & TRANSPORT EQPMNT"
4715,AQWA,0,,,0,,
4716,FGLD,0,,,0,,
4717,VXUS,0,,,0,,
4718,FPI,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4719,BTB,0,,,0,,
4720,LTRN,0,,,0,,
4721,WTI,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
4722,ICUI,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4723,MOGO,0,,,0,,
4724,BH,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
4725,IR,3585,3585.0,REFRIGERATION AND HEATING EQUIPMENT,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4726,ZD,0,,,0,,
4727,IMRX,0,,,0,,
4728,PEY,0,,,0,,
4729,DOMA,0,,,0,,
4730,SPGM,0,,,0,,
4731,MSOX,0,,,0,,
4732,LIT,0,,,0,,
4733,SQQQ,0,,,0,,
4734,ULST,0,,,0,,
4735,BLPH,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4736,USBpP,0,,,0,,
4737,SANA,0,,,0,,
4738,WD,6162,6162.0,MORTGAGE BANKERS AND CORRESPONDENTS,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
4739,KLTR,0,,,0,,
4740,EWZ,0,,,0,,
4741,NURO,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4742,HRZN,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4743,HSTO,0,,,0,,
4744,BH.A,0,,,0,,
4745,CCM,0,,,0,,
4746,HLVX,0,,,0,,
4747,CCOR,0,,,0,,
4748,STAF,7361,7361.0,EMPLOYMENT AGENCIES,73,73.0,BUSINESS SERVICES
4749,VERB,0,,,0,,
4750,UHS,8062,8062.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,80,80.0,HEALTH SERVICES
4751,RETO,0,,,0,,
4752,LCID,0,,,0,,
4753,IBMO,0,,,0,,
4754,VIOO,0,,,0,,
4755,ICFI,8742,8742.0,MANAGEMENT CONSULTING SERVICES,87,87.0,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT & RELATED SVCS"
4756,OGE,4924,4924.0,NATURAL GAS DISTRIBUTION,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4757,BSJO,0,,,0,,
4758,AVA,4931,4931.0,ELECTRIC AND OTHER SERVICES COMBINED,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4759,FRD,3312,3312.0,BLAST FURNACES AND STEEL MILLS,33,33.0,PRIMARY METAL INDUSTRIES
4760,ALGM,0,,,0,,
4761,ATAQ,0,,,0,,
4762,ALEX,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4763,VCEB,0,,,0,,
4764,QFIN,0,,,0,,
4765,NWLI,6311,6311.0,LIFE INSURANCE,63,63.0,INSURANCE CARRIERS
4766,ACXP,0,,,0,,
4767,FND,5211,5211.0,LUMBER AND OTHER BUILDING MATERIALS,52,52.0,"BUILDING MATRIALS, HRDWR, GARDEN SUPPLY & MOBILE HOME DEALRS"
4768,CMCM,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
4769,BSY,0,,,0,,
4770,RGNX,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
4771,ADTH,0,,,0,,
4772,RGLS,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4773,ANAB,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4774,PPG,2851,2851.0,PAINTS AND ALLIED PRODUCTS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4775,TPIC,3559,3559.0,"SPECIAL INDUSTRY MACHINERY, NEC",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4776,QRHC,1799,1799.0,"SPECIAL TRADE CONTRACTORS, NEC",17,17.0,CONSTRUCTION - SPECIAL TRADE CONTRACTORS
4777,BITQ,0,,,0,,
4778,CL,2844,2844.0,TOILET PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4779,VXRT,0,,,0,,
4780,QCLN,0,,,0,,
4781,VECT,0,,,0,,
4782,SJB,0,,,0,,
4783,SUMO,0,,,0,,
4784,BUR,2020,,,20,20.0,FOOD AND KINDRED PRODUCTS
4785,ETB,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4786,ASTSW,0,,,0,,
4787,BSDE,0,,,0,,
4788,VFF,0,,,0,,
4789,RDFN,6531,6531.0,REAL ESTATE AGENTS AND MANAGERS,65,65.0,REAL ESTATE
4790,HTIA,0,,,0,,
4791,OCCI,0,,,0,,
4792,ACIU,0,,,0,,
4793,EFO,0,,,0,,
4794,FMN,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4795,TXMD,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4796,GRIN,0,,,0,,
4797,MLR,3713,3713.0,TRUCK AND BUS BODIES,37,37.0,TRANSPORTATION EQUIPMENT
4798,SPXX,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4799,CLDT,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4800,VPU,0,,,0,,
4801,COHR,3826,3826.0,ANALYTICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4802,SNVpE,0,,,0,,
4803,YELL,0,,,0,,
4804,EIX,4911,4911.0,ELECTRIC SERVICES,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4805,ATHpC,0,,,0,,
4806,ELYS,0,,,0,,
4807,WPRT,3251,3251.0,BRICK AND STRUCTURAL CLAY TILE,32,32.0,"STONE, CLAY, GLASS, AND CONCRETE PRODUCTS"
4808,ZETA,0,,,0,,
4809,SAGE,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4810,ACNT,0,,,0,,
4811,EDOG,0,,,0,,
4812,FNV,0,,,0,,
4813,OSBC,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4814,GTLB,0,,,0,,
4815,LGHL,0,,,0,,
4816,BKH,4911,4911.0,ELECTRIC SERVICES,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4817,PBD,0,,,0,,
4818,PIE,0,,,0,,
4819,RPAY,0,,,0,,
4820,LAUR,8299,8299.0,SCHOOLS AND EDUCATIONAL SERVICES,82,82.0,EDUCATIONAL SERVICES
4821,APVO,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4822,NXTP,0,,,0,,
4823,RCON,0,,,0,,
4824,LSF,0,,,0,,
4825,JSMD,0,,,0,,
4826,CABO,4899,4899.0,"COMMUNICATION SERVICES, NEC",48,48.0,COMMUNICATIONS
4827,VOTE,0,,,0,,
4828,NE,1381,1381.0,DRILLING OIL AND GAS WELLS,13,13.0,OIL AND GAS EXTRACTION
4829,DCI,3564,3564.0,BLOWERS AND FANS,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4830,RHS,0,,,0,,
4831,TGTX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4832,ACHL,0,,,0,,
4833,TEAM,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
4834,MTDR,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
4835,TNGX,0,,,0,,
4836,ALCC,0,,,0,,
4837,INFU,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4838,NIB,0,,,0,,
4839,FNDA,0,,,0,,
4840,SYBX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4841,COHU,3825,3825.0,INSTRUMENTS TO MEASURE ELECTRICITY,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
4842,TRVG,0,,,0,,
4843,SHYF,0,,,0,,
4844,HFND,0,,,0,,
4845,FHB,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4846,SSP,4833,4833.0,TELEVISION BROADCASTING STATIONS,48,48.0,COMMUNICATIONS
4847,PCG,4922,4922.0,NATURAL GAS TRANSMISSION,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4848,KLXE,0,,,0,,
4849,USAI,0,,,0,,
4850,SFET,0,,,0,,
4851,ARTNA,4941,4941.0,WATER SUPPLY,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
4852,HOOD,0,,,0,,
4853,TRVN,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4854,ALIT,0,,,0,,
4855,TSLA,3711,3711.0,MOTOR VEHICLES AND CAR BODIES,37,37.0,TRANSPORTATION EQUIPMENT
4856,ZNTL,0,,,0,,
4857,CSWC,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4858,BITS,0,,,0,,
4859,EDF,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4860,SQNS,0,,,0,,
4861,RSP,0,,,0,,
4862,MYE,3089,3089.0,"PLASTICS PRODUCTS, NEC",30,30.0,RUBBER AND MISCELLANEOUS PLASTIC PRODUCTS
4863,SLQD,0,,,0,,
4864,CLMT,2911,2911.0,PETROLEUM REFINING,29,29.0,PETROLEUM REFINING AND RELATED INDUSTRIES
4865,MCS,7832,7832.0,"MOTION PICTURE THEATERS, EXCEPT DRIVE-IN",78,78.0,MOTION PICTURES
4866,OIL,0,,,0,,
4867,EXN,0,,,0,,
4868,VNQI,0,,,0,,
4869,PWV,0,,,0,,
4870,PHG,0,,,0,,
4871,SRCpA,0,,,0,,
4872,OIS,3533,3533.0,OIL AND GAS FIELD MACHINERY,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
4873,CMG,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
4874,GLpD,0,,,0,,
4875,FNGD,0,,,0,,
4876,BBIG,0,,,0,,
4877,MTLS,0,,,0,,
4878,ALTI,0,,,0,,
4879,KBR,1629,1629.0,"HEAVY CONSTRUCTION, NEC",16,16.0,"HEAVY CNSTRCTN, EXCEPT BUILDING CONSTRUCTION - CONTRACTORS"
4880,CENN,0,,,0,,
4881,ZEV,0,,,0,,
4882,FC,8243,8243.0,DATA PROCESSING SCHOOLS,82,82.0,EDUCATIONAL SERVICES
4883,JQUA,0,,,0,,
4884,CECO,8221,8221.0,COLLEGES AND UNIVERSITIES,82,82.0,EDUCATIONAL SERVICES
4885,PRSTW,0,,,0,,
4886,BIPpB,0,,,0,,
4887,EDRY,0,,,0,,
4888,SPGI,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
4889,AOS,3699,3699.0,"ELECTRICAL EQUIPMENT AND SUPPLIES, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
4890,SKYH,0,,,0,,
4891,USBpQ,0,,,0,,
4892,SECT,0,,,0,,
4893,DRRX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
4894,DGRS,0,,,0,,
4895,CFR,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
4896,VWOB,0,,,0,,
4897,HUBB,3679,3679.0,"ELECTRONIC COMPONENTS, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
4898,HQH,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
4899,NUSC,0,,,0,,
4900,NRK,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
